cov,sgn,lambda,drop,npg,H,delta_t,lambda_e_un,delta_un,SE_mod_un,SE_rob_un,SE_mod_adj_un,SE_rob_adj_un,SD_delta_un,cp_mod_un,cp_rob_un,cp_mod_adj_un,cp_rob_adj_un,power_mod_un,power_rob_un,power_mod_adj_un,power_rob_adj_un,conv_un,lambda_e_cs,delta_cs,SE_mod_cs,SE_rob_cs,SE_mod_adj_cs,SE_rob_adj_cs,SD_delta_cs,cp_mod_cs,cp_rob_cs,cp_mod_adj_cs,cp_rob_adj_cs,power_mod_cs,power_rob_cs,power_mod_adj_cs,power_rob_adj_cs,conv_cs,delta_cca,cp_cca,power_cca,delta_locf,cp_locf,power_locf,power_mmrm,power_mmrm_l,power_mmrm_t
1,-1,-0.5,0.3,50,1,0,-0.446895289,-1.068287994,18.59017648,18.60220065,18.9871719,18.99945686,19.10730565,95.26905381,95.30906181,96.19923985,96.13922785,4.730946189,4.690938188,3.800760152,3.860772154,99.98,-0.497678309,-0.565683062,14.65341254,17.5368213,14.86305755,17.78777282,18.07714434,89.98,95.2,90.84,95.67,10.02,4.8,9.16,4.33,100,1.25106908,96.16,3.84,-14.68436865,35.5906772,64.4093228,4.71,5.4,5.24
1,-1,-0.5,0.5,50,1,0,-0.448212886,-1.778002972,22.30497194,22.30508563,22.96034121,22.96043199,23.00227938,95.59911982,95.52910582,96.79935987,96.71934387,4.400880176,4.470894179,3.200640128,3.280656131,99.98,-0.493188811,-0.764327557,16.69739908,20.63876736,16.97663237,20.98405557,21.34795357,88.92,95.33,89.96,96.02,11.08,4.67,10.04,3.98,100,1.903362346,96.23,3.77,-16.624301,23.50761218,76.49238782,5.36,5.28,5.18
1,-1,0,0,50,1,0,0.017113284,-0.27400541,16.33492967,16.32343933,16.5856082,16.57394153,16.58531563,94.78,94.77,95.42,95.4,5.22,5.23,4.58,4.6,100,-0.049360444,-0.257473459,13.34720626,15.80042476,13.50570281,15.98805301,16.09715204,89.92,94.62,90.36,95.1,10.08,5.38,9.64,4.9,100,-0.262305371,95.42954295,4.570457046,-13.49132768,49.27,50.73,5.15,5.09,5.09
1,-1,0,0.3,50,1,0,0.017152722,-0.742794049,19.09405846,19.08144307,19.50053088,19.48765025,19.5040737,94.89,94.92,95.73,95.69,5.11,5.08,4.27,4.31,100,-0.039355312,0.023181378,14.66600934,18.14335402,14.87231851,18.39863479,18.56369688,88.38,94.85,89.3,95.31,11.62,5.15,10.7,4.69,100,1.693662283,95.72,4.28,-16.33965564,33.53335334,66.46664666,5.06,4.97,4.97
1,-1,0,0.5,50,1,0,0.015477177,-1.119624299,22.03420751,22.00729351,22.67514782,22.64743111,22.7468329,94.45,94.38,95.7,95.63,5.55,5.62,4.3,4.37,100,-0.028816455,0.176094265,16.16139486,20.60893387,16.42375706,20.94359609,21.42214836,86.97,94.11,87.93,94.88,13.03,5.89,12.07,5.12,100,2.658877761,95.5,4.5,-18.62004263,21.31852741,78.68147259,6,5.43,5.43
1,-1,0.5,0,50,1,0,0.477722919,0.446419735,16.57655819,16.57238347,16.83094479,16.82670601,16.91512549,94.68,94.58,95.19,95.2,5.32,5.42,4.81,4.8,100,0.423751807,0.48957391,13.38838565,16.34348498,13.5473712,16.537562,16.76576151,88.16,94.32,88.8,94.81,11.84,5.68,11.2,5.19,100,0.52786357,95.28,4.72,-15.19996076,46.64,53.36,5.04,4.53,4.92
1,-1,0.5,0.3,50,1,0,0.47428007,-0.021819743,18.9500126,18.95060246,19.3507968,19.35140525,19.22250235,94.39,94.47,95.35,95.33,5.61,5.53,4.65,4.67,100,0.432064912,1.030883341,14.48154307,18.43328084,14.6830534,18.68982868,18.80058847,86.42,94.26,87.32,94.75,13.58,5.74,12.68,5.25,100,2.854685002,95.2,4.8,-18.65136415,29.76,70.24,5.11,4.83,4.88
1,-1,0.5,0.5,50,1,0,0.46997985,-0.583662199,21.56340242,21.53408082,22.18319624,22.15298077,22.10972695,94.22769108,94.12765106,95.48819528,95.40816327,5.772308924,5.87234894,4.511804722,4.591836735,99.96,0.43709123,1.010809744,15.8414009,20.78032101,16.09382167,21.11155853,21.43631266,84.92,93.82,85.85,94.49,15.08,6.18,14.15,5.51,100,3.698388692,95.22,4.78,-21.999378,15.55,84.45,5.51,5,5.1
1,-1,-0.5,0,50,2,-34.5062013,-0.462110512,-34.183839,12.65157381,12.68093491,12.84572695,12.87553864,12.96191658,94.26885377,94.32886577,94.9389878,94.9489898,79.56591318,79.63592719,77.91558312,77.69553911,99.98,-0.482197034,-33.83653993,10.75389355,12.31246791,10.88159481,12.45867706,12.62855035,90.19,94.11,90.93,94.59,87.37,80.97,86.78,79.81,100,-34.14451157,94.49944994,79.37793779,-25.77089607,60.32412965,97.21888756,46.09,77.41,79.87
1,-1,-0.5,0.3,50,2,-38.15465331,-0.467457323,-40.55092739,15.25185707,15.28282429,15.57568352,15.60730024,15.36929486,95.46909382,95.59911982,96.21924385,96.27925585,80.0460092,79.70594119,77.4854971,77.13542709,99.98,-0.47634247,-39.19815706,12.16383028,14.57310187,12.33763378,14.78138029,14.66855618,90.4190419,95.19951995,91.13911391,95.70957096,89.36893689,80.3880388,88.54885489,78.67786779,99.99,-34.49353384,93.61,73.67,-27.30910871,48.87263253,98.68724321,52.15,79.92,81.18
1,-1,-0.5,0.5,50,2,-40.99286344,-0.470832176,-45.45898244,18.11731364,18.14418443,18.64084261,18.66849264,18.95204966,95.35907181,95.1090218,96.63932787,96.24924985,75.72514503,75.45509102,71.88437688,71.33426685,99.98,-0.4658544,-42.83660952,13.65310554,16.87117879,13.8804718,17.15226198,17.55850104,88.80888089,94.58945895,89.6989699,95.28952895,87.24872487,76.02760276,86.23862386,73.97739774,99.99,-34.35473265,90.32,63.79,-27.32559175,34.27140711,98.81822734,55.07,78.79,78.37
1,-1,0,0,50,2,-38.91036706,0.005242712,-38.9665306,13.92134428,13.91693385,14.13498353,14.13050542,14.20753405,94.54,94.46,95.18,95.02,81.11,81.13,79.35,79.46,100,-0.014279874,-38.73008909,11.45124303,13.60826959,11.58722523,13.76986624,13.98428685,89.31,94.14,89.97,94.65,89.26,82.22,88.75,81.22,100,-38.8017268,94.88539686,80.67260534,-30.44618732,65.08650865,98.26982698,70.22,80.64,80.64
1,-1,0,0.3,50,2,-42.55626678,0.002950983,-44.25823528,16.17835205,16.16874231,16.51825281,16.5084483,16.77931278,94.5,94.49,95.31,95.3,79.97,79.95,77.49,77.71,100,0.002653205,-42.34323561,12.45264076,15.45930312,12.62718944,15.6760444,16.0961542,87.44,94.12,88.35,94.53,89.06,79.82,88.35,78.34,100,-37.78008122,92.9,70.93,-31.56383167,52.51525153,98.95989599,73.8,79.88,79.88
1,-1,0,0.5,50,2,-45.99367819,0.000508413,-49.13867516,18.60375517,18.56208657,19.1304771,19.0876267,19.34534907,94.4,94.15,95.68,95.61,77.32,77.37,73.93,73.73,100,0.018980486,-45.688415,13.58956484,17.36766578,13.808705,17.6478243,18.18532806,85.92,93.71,87.13,94.45,88.04,76.26,87.2,74.37,100,-37.8216067,90.41,61.56,-32.25975891,38.19,99.56,74.73,78.3,78.3
1,-1,0.5,0,50,2,-43.88813624,0.455707444,-42.87793742,14.89016355,14.89789912,15.11867046,15.12652474,15.21430712,94.32943294,94.32943294,94.97949795,94.96949695,81.55815582,81.49814981,79.7979798,79.8179818,99.99,0.445903143,-42.72778039,11.98193642,14.68845277,12.12422055,14.86287647,15.03319999,87.62,94.31,88.44,94.69,90.15,82.14,89.74,81.1,100,-42.47740089,95.32,79.61,-34.87138915,66.34,98.97,78.09,72.27,80.41
1,-1,0.5,0.3,50,2,-48.89100643,0.44795336,-48.42568524,16.84773285,16.84401974,17.19910185,17.19529368,17.22950295,94.35,94.23,95.16,95.15,81.96,81.91,80.03,79.88,100,0.454562156,-46.38504207,12.79146479,16.30488663,12.9688395,16.5310252,16.76813969,86.23,93.87,86.96,94.39,90.64,81.13,90.09,79.73,100,-42.19086541,93.06,71.16,-36.76318781,51.69,99.5,81.11,70.44,81.48
1,-1,0.5,0.5,50,2,-53.53916992,0.441487473,-53.26341505,19.03018354,19.00960545,19.5599414,19.53874448,19.5802721,93.87877576,93.65873175,95.13902781,94.9189838,80.82616523,80.85617123,78.09561912,78.07561512,99.98,0.46132967,-49.63487085,13.83389381,18.15700998,14.05275652,18.4443625,18.6849168,84.15,92.74,84.98,93.51,89.57,78.46,89,77.16,100,-42.71316492,90.89,62.95,-37.93600642,33.76,99.78,81.64,66.19,80.81
