"cov","sgn","wg","k","drop","npg","th1_1","th1_2","th1_3","th2_3","sd1","sd2","sd3","Ilgt","xi2_1","xi2_2","xi2_3","drrate1_2","drrate1_3","drratte2_2","drrate2_3"
1,-1,0,1.5,0,50,127.678084730229,140.445893203251,153.213701676274,104.567775040793,78.2584679538433,86.0843147492276,93.910161544612,-Inf,80.9497742943649,71.8995485887297,81.8995485887297,1,1,1,1
1,-1,0,1.5,0.3,50,127.678084730229,140.445893203251,153.213701676274,102.363401934275,78.2584679538433,86.0843147492276,93.910161544612,-3.32073276891134,80.0865199969749,70.1730399939498,80.1730399939498,0.826886,0.699816,0.870648,0.790154
1,-1,0,1.5,0.5,50,127.678084730229,140.445893203251,153.213701676274,97.8766968978901,78.2584679538433,86.0843147492276,93.910161544612,-2.3833019783547,78.3294819563961,66.6589639127921,76.6589639127921,0.688694,0.501076,0.752082,0.612432
1,-1,1,1.5,0,50,84.53178682288,92.9849547787965,101.438146654095,64.1053626905215,103.529872380889,113.88284648191,124.235849878071,-Inf,77.9179020390483,65.8357913788065,75.8358069870915,1,1,1,1
1,-1,1,1.5,0.3,50,84.53178682288,92.9849547787965,101.438146654095,62.0259649448294,103.529872380889,113.88284648191,124.235849878071,-3.04765490413648,76.6879518486642,63.3758909980382,73.3759066063233,0.82635,0.700524,0.86958,0.788152
1,-1,1,1.5,0.5,50,84.53178682288,92.9849547787965,101.438146654095,59.1812070059454,103.529872380889,113.88284648191,124.235849878071,-2.11091076089716,75.005296100972,60.0105795026538,70.0105951109389,0.690056,0.500838,0.748504,0.606154
